ID;StudyID;UserID;Age;Gender;PlayingHand;DominantHand;LongNails;DominantEye;TargetID;TargetSize;TargetDistance;ColliderSize;HitType;Outset;Goal;MistakeOccured;TargetCombition;RoundID;Repetition;Clockwise;TouchID;CrossTargets;Delay;ConditionID;TouchTime;LiftTime;DeltaHitTime;TargetX;TargetY;TouchX;TouchY;TouchOffsetX;TouchOffsetY;LiftX;LiftY;LiftOffsetX;LiftOffsetY;TouchDuration;TouchDeltaX;TouchDeltaY;RotationDegreeX;RotationDegreeY;RotationDegreeZ;TimeStamp;Potition
 ;12;7;47;M;R;R;No;R;0;7.2;-1;21.6;Outset;E;E;No;EE; ; ; ;0;False;1; ;5.882202;5.983032;5.882202;138.5212;73.89091;139.2189;74.94924;0.6977234;1.058334;139.1227;74.94924;0.6015167;1.058334;0.1008301; ; ;89.28429;87.96477;177.8425;2019/08/06 14:57:26;C
 ;12;7;47;M;R;R;No;R;0;7.2;39.99999;21.6;Center;E;E;No;EE; ; ; ;1;False;1; ;7.394775;7.495605;1.512573;98.52122;73.89091;99.38712;75.62273;0.8658981;1.731819;99.38712;75.62273;0.8658981;1.731819;0.1008301; ; ;88.9362;88.0611;177.7882;2019/08/06 14:57:27;C
 ;12;7;47;M;R;R;No;R;0;7.2;39.99999;21.6;Goal;E;E;No;EE; ; ; ;2;False;1; ;8.637939;8.772339;1.243164;138.5212;73.89091;139.2189;74.27576;0.6977234;0.3848495;139.0265;73.98712;0.5053101;0.09621429;0.1343994; ; ;89.31792;88.23481;178.1075;2019/08/06 14:57:29;C
 ;12;7;47;M;R;R;No;R;1;7.2;-1;21.6;Outset;W;S;No;WS; ; ; ;3;False;1; ;10.78906;10.88928;2.151123;58.52121;73.89091;62.15303;75.43031;3.631821;1.539398;61.91806;75.43031;3.396854;1.539398;0.1002197; ; ;89.19973;88.11137;177.9487;2019/08/06 14:57:31;C
 ;12;7;47;M;R;R;No;R;1;7.2;40.00001;21.6;Center;W;S;No;WS; ; ; ;4;False;1; ;11.99829;12.06555;1.209229;98.52122;73.89091;100.7341;76.10378;2.212868;2.212875;100.7341;76.10378;2.212868;2.212875;0.06726074; ; ;89.19372;88.0901;177.9267;2019/08/06 14:57:32;C
 ;12;7;47;M;R;R;No;R;1;7.2;40;21.6;Goal;W;S;No;WS; ; ; ;5;False;1; ;12.97278;13.03992;0.9744873;98.52122;33.89091;98.23257;34.54015;-0.2886429;0.6492424;98.42576;34.44394;-0.09545898;0.5530319;0.06713867; ; ;89.15963;88.24844;178.0572;2019/08/06 14:57:33;C
 ;12;7;47;M;R;R;No;R;2;7.2;-1;21.6;Outset;S;S;No;SS; ; ; ;6;False;1; ;14.98999;15.09082;2.017212;98.52122;33.89091;100.1568;36.56061;1.635597;2.669701;100.0606;36.56061;1.539391;2.669701;0.1008301; ; ;89.04239;88.10565;177.8773;2019/08/06 14:57:35;C
 ;12;7;47;M;R;R;No;R;2;7.2;40;21.6;Center;S;S;No;SS; ; ; ;7;False;1; ;16.09949;16.20044;1.109497;98.52122;73.89091;101.7924;75.23788;3.27121;1.34697;100.9183;75.04546;2.39711;1.154549;0.1009521; ; ;89.07677;88.13922;177.9226;2019/08/06 14:57:36;C
 ;12;7;47;M;R;R;No;R;2;7.2;40;21.6;Goal;S;S;No;SS; ; ; ;8;False;1; ;17.1073;17.24182;1.007813;98.52122;33.89091;98.52122;35.69469;0;1.803787;99.23874;34.73257;0.7175217;0.8416672;0.1345215; ; ;89.33318;88.33627;178.2075;2019/08/06 14:57:37;C
 ;12;7;47;M;R;R;No;R;3;7.2;-1;21.6;Outset;N;N;No;NN; ; ; ;9;False;1; ;19.05676;19.19128;1.949463;98.52122;113.8909;100.5417;114.4924;2.020447;0.6015167;99.77197;114.4924;1.250748;0.6015167;0.1345215; ; ;89.07342;88.06232;177.8521;2019/08/06 14:57:39;C
